"Fact_ID","Category","Subcategory","Topic","Question","Answer","Keywords","Source_Type"
"F00043","Refineries","Barauni Refinery","Location","Where is the Barauni Refinery located?","The Barauni Refinery is located at Barauni, Begusarai district, Bihar.","Barauni Refinery, Bihar, Begusarai, expansion, capacity, location","Website"
"F00044","Refineries","Barauni Refinery","Capacity","What is the refining capacity of the Barauni Refinery?","The Barauni Refinery has a refining capacity of approximately 6.0 MMTPA (expansion to 9 MMTPA underway).","Barauni Refinery, Bihar, Begusarai, expansion, capacity, capacity, MMTPA","Website"
"F00045","Refineries","Barauni Refinery","History","What is the history of the Barauni Refinery?","Barauni Refinery began operations with an initial 1.0 MMTPA capacity processing Assam crude, and was expanded over decades via AVU and AU revamps to its current 6.0 MMTPA capacity. An expansion to 9 MMTPA, including new petrochemical units, is currently under implementation.","Barauni Refinery, Bihar, Begusarai, expansion, capacity, history, expansion","Website"
"F00046","Refineries","Gujarat Refinery","Location","Where is the Gujarat Refinery located?","The Gujarat Refinery is located at Koyali, Vadodara district, Gujarat.","Gujarat Refinery, Koyali, Vadodara, LuPech, petrochemical complex, location","Website"
"F00047","Refineries","Gujarat Refinery","Capacity","What is the refining capacity of the Gujarat Refinery?","The Gujarat Refinery has a refining capacity of approximately 13.7 MMTPA (LuPech project targets 18.0 MMTPA).","Gujarat Refinery, Koyali, Vadodara, LuPech, petrochemical complex, capacity, MMTPA","Website"
"F00048","Refineries","Gujarat Refinery","History","What is the history of the Gujarat Refinery?","Gujarat Refinery, commissioned in 1965 near Koyali with Soviet technical assistance, was IndianOil's first major grassroots refinery and today operates as an integrated refinery-cum-petrochemical complex; its ongoing LuPech Project aims to raise capacity from 13.7 to 18.0 MMTPA.","Gujarat Refinery, Koyali, Vadodara, LuPech, petrochemical complex, history, expansion","Website"
"F00049","Refineries","Mathura Refinery","Location","Where is the Mathura Refinery located?","The Mathura Refinery is located at Mathura, Uttar Pradesh.","Mathura Refinery, Uttar Pradesh, Taj Mahal, hydrocracker, capacity, location","Website"
"F00050","Refineries","Mathura Refinery","Capacity","What is the refining capacity of the Mathura Refinery?","The Mathura Refinery has a refining capacity of approximately 8.0 MMTPA.","Mathura Refinery, Uttar Pradesh, Taj Mahal, hydrocracker, capacity, capacity, MMTPA","Website"
"F00051","Refineries","Mathura Refinery","History","What is the history of the Mathura Refinery?","Mathura Refinery was commissioned in 1982 with an initial 6.0 MMTPA capacity to serve north-western India including the National Capital Region; it was later expanded to 8.0 MMTPA following the addition of a Once-Through Hydrocracker Unit in 2000, and operates under extra environmental safeguards owing to its proximity to the Taj Mahal.","Mathura Refinery, Uttar Pradesh, Taj Mahal, hydrocracker, capacity, history, expansion","Website"
"F00052","Refineries","Haldia Refinery","Location","Where is the Haldia Refinery located?","The Haldia Refinery is located at Haldia, West Bengal.","Haldia Refinery, West Bengal, Hooghly River, eastern India, location","Website"
"F00053","Refineries","Haldia Refinery","Capacity","What is the refining capacity of the Haldia Refinery?","The Haldia Refinery has a refining capacity of approximately 8.0 MMTPA (approx.).","Haldia Refinery, West Bengal, Hooghly River, eastern India, capacity, MMTPA","Website"
"F00054","Refineries","Haldia Refinery","History","What is the history of the Haldia Refinery?","Haldia Refinery, located on the banks of the Hooghly River in West Bengal, processes both imported and domestic crude oil and supplies petroleum products across eastern India, supported by the Paradip-Haldia-Barauni crude oil pipeline system.","Haldia Refinery, West Bengal, Hooghly River, eastern India, history, expansion","Website"
"F00055","Refineries","Panipat Refinery","Location","Where is the Panipat Refinery located?","The Panipat Refinery is located at Panipat, Haryana.","Panipat Refinery, Haryana, PRAEP, PTA, Paraxylene, expansion, location","Website"
"F00056","Refineries","Panipat Refinery","Capacity","What is the refining capacity of the Panipat Refinery?","The Panipat Refinery has a refining capacity of approximately 15 MMTPA (expansion to 25 MMTPA underway).","Panipat Refinery, Haryana, PRAEP, PTA, Paraxylene, expansion, capacity, MMTPA","Website"
"F00057","Refineries","Panipat Refinery","History","What is the history of the Panipat Refinery?","Panipat Refinery and Petrochemical Complex was expanded from 12 to 15 MMTPA through the Panipat Refinery Additional Expansion Project (PRAEP), and hosts a major Purified Terephthalic Acid (PTA) and Paraxylene (PX) petrochemical complex; a further expansion to 25 MMTPA is currently under execution.","Panipat Refinery, Haryana, PRAEP, PTA, Paraxylene, expansion, history, expansion","Website"
"F00058","Refineries","Paradip Refinery","Location","Where is the Paradip Refinery located?","The Paradip Refinery is located at Paradip, Jagatsinghpur district, Odisha.","Paradip Refinery, Odisha, grassroots refinery, Petrochemical Complex, location","Website"
"F00059","Refineries","Paradip Refinery","Capacity","What is the refining capacity of the Paradip Refinery?","The Paradip Refinery has a refining capacity of approximately 15 MMTPA (approx., grassroots refinery).","Paradip Refinery, Odisha, grassroots refinery, Petrochemical Complex, capacity, MMTPA","Website"
"F00060","Refineries","Paradip Refinery","History","What is the history of the Paradip Refinery?","Paradip Refinery is one of IndianOil's modern grassroots refineries on the Odisha coast, designed to process high-sulphur, heavy crude oils, and is the planned site of a major upcoming Petrochemical Complex with an investment of around Rs. 61,077 crore.","Paradip Refinery, Odisha, grassroots refinery, Petrochemical Complex, history, expansion","Website"
"F00061","Refineries","Bongaigaon Refinery","Location","Where is the Bongaigaon Refinery located?","The Bongaigaon Refinery is located at Dhaligaon, Bongaigaon district, Assam.","Bongaigaon Refinery, Assam, BRPL, Dhaligaon, location","Website"
"F00062","Refineries","Bongaigaon Refinery","Capacity","What is the refining capacity of the Bongaigaon Refinery?","The Bongaigaon Refinery has a refining capacity of approximately 2.35 MMTPA.","Bongaigaon Refinery, Assam, BRPL, Dhaligaon, capacity, MMTPA","Website"
"F00063","Refineries","Bongaigaon Refinery","History","What is the history of the Bongaigaon Refinery?","Bongaigaon Refinery, formerly Bongaigaon Refinery & Petrochemicals Ltd. (BRPL), became a subsidiary and later merged into IndianOil; it has a relatively modest capacity of around 2.35 MMTPA and serves the lower Assam region.","Bongaigaon Refinery, Assam, BRPL, Dhaligaon, history, expansion","Website"
"F00064","Refineries","Overview","Total Group Capacity","What is the total refining capacity of the IndianOil Group?","As a group, IndianOil operates the largest refining capacity in India, with reported figures of around 70.25 MMTPA across its own refineries (approved to be enhanced to 87.9 MMTPA), rising to roughly 80+ MMTPA when group subsidiary CPCL's refineries are included.","total refining capacity, IndianOil Group, MMTPA, CPCL","Website"
"F00065","Refineries","Overview","Number of Refineries","How many refineries does IndianOil operate?","IndianOil directly operates nine refineries across India, and together with its subsidiary Chennai Petroleum Corporation Limited (CPCL), the IndianOil Group operates eleven refineries in total.","number of refineries, nine refineries, CPCL, IndianOil Group","Website"
"F00066","Refineries","Technology","Refining Technologies Used","What refining technologies does IndianOil use?","IndianOil's refineries employ a wide basket of technologies including atmospheric and vacuum distillation, fluid catalytic cracking (FCC/RFCC), hydrocracking, catalytic reforming, hydrogen generation, delayed coking, lube processing, visbreaking, and sulphur recovery.","refining technologies, FCC, hydrocracking, catalytic reforming, delayed coking","Website"
"F00067","Refineries","Technology","INDMAX Technology","What is INDMAX technology?","INDMAX is an indigenous fluid catalytic cracking technology developed by IndianOil's own R&D Centre, designed to maximize LPG and light olefin yield from heavy residual feedstocks.","INDMAX, fluid catalytic cracking, R&D Centre, LPG yield","Website"
"F00068","Pipelines","Network","Total Pipeline Length","How long is IndianOil's cross-country pipeline network?","IndianOil's cross-country pipeline network for crude oil, petroleum products, and gas spans more than 17,000 kilometres, making it one of the largest pipeline networks among Indian oil companies.","pipeline length, cross-country, kilometres, network","Website"
"F00069","Pipelines","Crude Pipelines","Salaya-Mathura-Panipat Pipeline","What is the Salaya-Mathura-Panipat crude oil pipeline?","The Salaya-Mathura-Panipat crude pipeline system is about 2,663 km long with an installed capacity of around 25 MMTPA, carrying crude oil from Salaya near Vadinar in Gujarat to IndianOil's refineries at Koyali, Mathura, and Panipat.","Salaya, Mathura, Panipat, crude pipeline, Vadinar, Gujarat","Website"
"F00070","Pipelines","Crude Pipelines","Paradip-Haldia-Barauni Pipeline","What is the Paradip-Haldia-Barauni crude oil pipeline?","The Paradip-Haldia-Barauni crude pipeline (PHBPL) is approximately 1,465 km long with an installed capacity of around 20.4 MMTPA, transporting crude oil from Paradip in Odisha to refineries at Haldia and Barauni.","Paradip, Haldia, Barauni, crude pipeline, PHBPL, Odisha","Website"
"F00071","Pipelines","Crude Pipelines","Mundra-Panipat Pipeline","What is the Mundra-Panipat crude oil pipeline?","The Mundra-Panipat Pipeline (MPPL) is roughly 1,194 km long with an installed capacity of about 8.4 MMTPA, carrying crude oil from Mundra on the Gujarat coast to IndianOil's Panipat refinery.","Mundra-Panipat Pipeline, MPPL, crude pipeline, Gujarat, Panipat","Website"
"F00072","Pipelines","Infrastructure","Single Point Mooring (SPM)","What are Single Point Mooring systems used for at IndianOil?","IndianOil operates Single Point Mooring (SPM) systems at coastal locations such as Vadinar and Paradip to unload crude oil from very large crude carriers (VLCCs) offshore, feeding it into the cross-country crude pipeline network.","Single Point Mooring, SPM, VLCC, crude oil unloading, Vadinar, Paradip","Website"
"F00073","Pipelines","Product Pipelines","Barauni-Kanpur Product Pipeline","What is the Barauni-Kanpur Product Pipeline?","The Barauni-Kanpur Product Pipeline (BKPL) transports refined petroleum products such as motor spirit and high-speed diesel from Barauni Refinery to consumption centres, with onward links including a transnational connection to Nepal via the Patna-Motihari-Amlekhganj line.","Barauni-Kanpur Product Pipeline, BKPL, Nepal pipeline, product transport","Website"
"F00074","Pipelines","Product Pipelines","Panipat Product Pipelines","What product pipelines originate from Panipat Refinery?","Panipat Refinery feeds multiple product pipelines, including the Panipat-Bhatinda Pipeline (PBPL), Panipat-Rewari Pipeline (PRPL), Panipat-Delhi Pipeline (PDPL), and Panipat-Ambala-Jalandhar Pipeline (PAJPL), distributing fuels across north India.","Panipat pipelines, PBPL, PRPL, PDPL, PAJPL, north India","Website"
"F00075","Pipelines","Cross-Border","Nepal Transnational Pipeline","Does IndianOil operate any cross-border pipelines?","Yes, IndianOil operates and is expanding transnational petroleum product pipelines to Nepal, such as the Patna-Motihari-Amlekhganj line, and evaluates similar cross-border pipeline proposals with other neighbouring countries.","Nepal pipeline, transnational, cross-border, Motihari, Amlekhganj","Website"
"F00076","Pipelines","Gas Pipelines","Natural Gas Pipeline Network","Does IndianOil operate natural gas pipelines?","IndianOil operates and participates in natural gas pipeline infrastructure as part of its Natural Gas business vertical, supporting City Gas Distribution (CGD) networks and gas supply to industrial and retail customers.","natural gas pipeline, City Gas Distribution, CGD, gas supply","Website"
"F00077","Pipelines","Safety","Pipeline Safety Programs","What safety measures does IndianOil follow for its pipelines?","IndianOil maintains dedicated pipeline safety programs covering right-of-way monitoring, leak detection systems, pipeline crossing permissions, and a public Pipeline Crossing Permission Portal to manage third-party activities near pipeline corridors.","pipeline safety, leak detection, right of way, crossing permission portal","Website"
"F00078","Marketing Operations","Retail","Fuel Stations Count","How many fuel stations does IndianOil operate?","IndianOil operates over 37,500 fuel stations (retail outlets) across India, among the largest retail fuel networks in the country.","fuel stations, retail outlets, petrol pumps, network size","Website"
"F00079","Marketing Operations","Retail","Customer Touch-points","How many customer touch-points does IndianOil have nationwide?","IndianOil reaches customers through a network of over 61,000 customer touch-points nationwide, including fuel stations, LPG distributorships, and other outlets.","customer touch-points, network, distribution, IndianOil","Website"
"F00080","Marketing Operations","LPG","Indane LPG Customers","How many LPG customers does Indane serve?","Indane, IndianOil's LPG brand, serves more than 150 million customers, making it one of the largest LPG brands in the world.","Indane, LPG customers, 150 million, brand","Website"
"F00081","Marketing Operations","Aviation Fuel","Aviation Turbine Fuel Business","Does IndianOil supply aviation fuel?","Yes, IndianOil supplies Aviation Turbine Fuel (ATF) to domestic and international airlines through its aviation fuel stations at airports across India.","aviation fuel, ATF, airports, airlines","Website"
"F00082","Marketing Operations","Lubricants","SERVO Lubricants","What is SERVO?","SERVO is IndianOil's flagship lubricants brand, offering a wide range of automotive, industrial, and specialty lubricants manufactured and marketed by the company.","SERVO, lubricants, brand, automotive lubricants","Website"
"F00083","Marketing Operations","Retail Innovation","XtraPremium and XtraMile","What are XtraPremium and XtraMile?","XtraPremium and XtraMile are IndianOil's premium petrol and diesel fuel brands respectively, formulated with additives intended to improve engine performance and fuel efficiency.","XtraPremium, XtraMile, premium fuel, branded fuel","Website"
"F00084","Marketing Operations","Electric Mobility","EV Charging Stations","Has IndianOil ventured into EV charging infrastructure?","Yes, IndianOil launched one of India's first EV charging stations at a fuel station in Nagpur in November 2017 in collaboration with Ola, and has since been expanding EV charging and battery-swapping infrastructure at its retail outlets.","EV charging, Nagpur, electric mobility, Ola, retail outlets","Public Information"
"F00085","Marketing Operations","Marine Fuel","Marine Fuel Supply","Does IndianOil supply marine fuel?","IndianOil supplies marine bunker fuel to shipping customers at Indian ports as part of its broader fuels marketing portfolio.","marine fuel, bunker fuel, shipping, ports","Public Information"
"F00086","Products","Fuel/Product","Petrol (Motor Spirit)","What is Petrol (Motor Spirit)?","Petrol, also called Motor Spirit (MS), is a refined hydrocarbon fuel used in spark-ignition engines; IndianOil markets it under standard and premium grades such as XtraPremium.","Petrol (Motor Spirit), product, IndianOil","Website"
"F00087","Products","Fuel/Product","Diesel (High-Speed Diesel)","What is Diesel (High-Speed Diesel)?","High-Speed Diesel (HSD) is IndianOil's primary diesel fuel for compression-ignition engines, marketed in standard and premium (XtraMile) grades.","Diesel (High-Speed Diesel), product, IndianOil","Website"
"F00088","Products","Fuel/Product","LPG (Liquefied Petroleum Gas)","What is LPG (Liquefied Petroleum Gas)?","LPG is a mix of propane and butane sold by IndianOil under the Indane brand for domestic cooking and as auto-LPG for vehicles.","LPG (Liquefied Petroleum Gas), product, IndianOil","Website"
"F00089","Products","Fuel/Product","CNG (Compressed Natural Gas)","What is CNG (Compressed Natural Gas)?","CNG is a cleaner-burning alternative transport fuel that IndianOil markets through City Gas Distribution networks and retail outlets.","CNG (Compressed Natural Gas), product, IndianOil","Website"
"F00090","Products","Fuel/Product","LNG (Liquefied Natural Gas)","What is LNG (Liquefied Natural Gas)?","LNG is natural gas cooled to a liquid state for ease of storage and transport; IndianOil handles LNG through terminals such as the Ennore LNG Terminal.","LNG (Liquefied Natural Gas), product, IndianOil","Website"
"F00091","Products","Fuel/Product","Aviation Turbine Fuel (ATF)","What is Aviation Turbine Fuel (ATF)?","ATF is a specialized kerosene-based fuel supplied by IndianOil to airlines for jet engines, produced to strict international specifications.","Aviation Turbine Fuel (ATF), product, IndianOil","Website"
"F00092","Products","Fuel/Product","Bitumen","What is Bitumen?","Bitumen is a heavy hydrocarbon residue produced at IndianOil refineries, used primarily in road construction and waterproofing applications.","Bitumen, product, IndianOil","Website"
"F00093","Products","Fuel/Product","Lubricants (SERVO)","What is Lubricants (SERVO)?","IndianOil produces a wide range of lubricants under the SERVO brand for automotive, industrial, and marine applications.","Lubricants (SERVO), product, IndianOil","Website"
"F00094","Products","Fuel/Product","Petrochemicals","What is Petrochemicals?","IndianOil produces petrochemical products including polymers (PP, HDPE, LLDPE), PTA, paraxylene, and other intermediates from its refinery-integrated petrochemical complexes.","Petrochemicals, product, IndianOil","Website"
"F00095","Products","Fuel/Product","Superior Kerosene Oil (SKO)","What is Superior Kerosene Oil (SKO)?","SKO is a refined kerosene product historically used for household lighting and cooking, still produced by some IndianOil refineries.","Superior Kerosene Oil (SKO), product, IndianOil","Website"
"F00096","Products","Fuel/Product","Furnace Oil","What is Furnace Oil?","Furnace Oil (FO) is a heavy fuel oil used in industrial boilers and furnaces, produced as a refinery output.","Furnace Oil, product, IndianOil","Website"
"F00097","Products","Fuel/Product","Petroleum Coke","What is Petroleum Coke?","Petroleum coke (petcoke) is a carbon-rich solid by-product of the refining process, used as a fuel and in industrial applications.","Petroleum Coke, product, IndianOil","Website"
"F00098","Products","Fuel/Product","Sulphur","What is Sulphur?","Elemental sulphur is recovered from refinery process streams via Sulphur Recovery Units to meet environmental regulations and is sold as a by-product.","Sulphur, product, IndianOil","Website"
"F00099","Petrochemicals","Manufacturing Units","Panipat PTA-PX Complex","What petrochemical complex is located at Panipat Refinery?","Panipat Refinery hosts a major Purified Terephthalic Acid (PTA) and Paraxylene (PX) production complex, with the PTA unit commissioned in 2006, designed to produce around 360 TMT of paraxylene and 553 TMT of PTA annually using naphtha from Mathura and Panipat refineries.","Panipat petrochemical complex, PTA, Paraxylene, PX","Website"
